APR_HOM_TO;APR_MUJ_TO;REP_HOM_TO;REP_MUJ_TO;RET_HOM_TO;RET_MUJ_TO
16;24;0;0;0;0
13;11;0;0;0;0
1;1;0;0;0;0
9;4;0;0;0;0
77;48;0;0;0;0
11;11;0;0;0;0
112;134;0;0;0;0
38;33;0;0;0;0
162;150;57;27;17;11
229;186;26;12;7;1
60;69;0;1;0;0
6;8;1;0;0;0
62;50;2;1;0;0
68;39;4;0;0;1
67;84;0;1;0;0
69;47;2;0;0;0
8;4;0;0;0;0
5;4;0;0;0;0
63;66;4;4;1;1
108;121;1;1;2;1
50;35;3;1;1;0
36;28;1;0;1;2
128;134;6;2;2;1
129;97;5;2;1;1
79;62;1;3;0;1
80;71;4;2;1;1
145;223;19;25;0;3
4;32;0;4;1;4
63;86;10;9;5;5
14;7;1;0;3;0
136;96;0;1;7;5
127;101;13;7;0;1
89;61;4;4;2;7
26;25;2;0;10;6
48;49;1;0;0;0
34;14;2;1;0;0
293;288;15;8;1;2
0;356;0;2;0;0
321;281;5;7;1;0
163;153;3;9;2;1
367;440;6;12;1;1
184;186;4;1;0;1
134;182;0;0;0;0
149;103;7;4;2;1
325;287;7;0;0;0
82;81;2;0;0;0
99;90;2;0;1;0
193;160;4;4;2;1
93;79;7;4;1;4
78;59;2;0;1;0
1;2;0;0;0;0
16;4;2;3;1;0
2;2;0;0;0;0
12;13;0;0;1;0
11;12;3;1;0;0
1;5;0;0;0;0
79;70;5;1;0;0
54;47;4;3;2;1
57;47;1;1;0;0
136;119;7;2;0;0
27;25;3;2;0;0
46;43;3;2;0;1
81;57;1;0;3;0
18;15;3;0;0;0
20;14;4;2;0;1
238;200;7;9;4;1
35;33;2;0;0;0
43;30;6;0;0;0
144;146;6;5;2;1
25;14;6;2;8;7
874;35;22;2;3;0
0;365;0;11;0;8
58;73;20;20;11;8
138;110;4;2;6;2
33;22;12;0;4;3
529;386;41;23;3;0
95;68;16;7;3;3
116;92;18;9;3;1
17;11;1;3;0;0
99;57;11;0;3;0
192;132;21;4;7;5
77;87;4;2;1;0
78;73;4;2;1;1
54;49;4;2;0;0
47;39;2;3;0;0
45;44;4;2;1;0
35;19;0;2;1;0
27;28;0;0;0;0
230;244;1;1;1;2
28;46;5;6;2;2
0;336;0;2;0;1
140;153;6;1;0;0
173;173;7;5;0;0
180;140;3;3;0;0
20;34;2;2;2;1
115;98;17;6;2;0
75;58;12;2;1;1
44;33;3;0;0;0
46;50;1;2;0;1
81;42;3;1;0;0
11;7;1;0;0;0
17;13;2;3;0;0
40;22;3;0;0;0
127;185;4;3;0;0
34;18;0;2;0;0
29;35;2;0;0;1
198;228;5;8;0;1
144;100;23;13;9;1
43;15;5;4;3;1
90;79;3;3;0;1
24;19;2;1;0;0
34;25;1;0;0;2
21;17;2;0;0;0
36;16;1;0;0;0
195;250;7;6;0;0
56;56;1;2;0;0
74;78;8;2;0;0
40;42;3;1;0;0
51;40;5;1;0;1
52;54;5;1;1;0
173;259;12;17;24;17
250;193;7;7;3;3
66;51;3;1;3;1
63;78;0;3;0;0
115;82;7;3;0;0
86;79;5;4;0;0
80;88;1;1;0;0
21;14;2;0;0;0
18;9;0;1;0;0
0;0;0;0;1;0
13;6;0;1;0;0
29;25;0;0;0;0
132;150;11;4;0;0
131;126;3;3;1;0
268;309;2;4;0;0
134;128;18;15;3;3
67;66;5;2;1;1
136;96;22;11;7;8
9;4;3;1;1;0
60;38;6;2;1;0
62;52;2;0;1;0
39;46;2;3;0;0
156;111;4;6;4;3
24;10;7;0;1;0
93;110;30;15;21;13
130;168;8;2;1;0
156;444;35;33;8;21
0;256;0;7;0;8
0;505;0;40;0;4
133;39;54;7;13;9
198;153;9;13;6;3
296;255;11;11;1;1
175;69;19;2;8;0
116;134;14;6;2;3
96;84;2;1;1;0
90;57;19;5;4;2
88;63;19;2;3;0
29;6;2;2;3;1
44;23;0;0;3;2
30;101;1;2;1;2
24;41;0;0;0;0
138;205;3;2;1;0
74;39;6;3;4;1
274;342;32;24;1;1
818;0;34;0;1;0
8;4;5;2;2;4
87;153;7;5;2;3
442;352;0;0;0;0
173;268;19;7;1;0
121;97;6;4;0;2
45;63;1;1;0;0
77;83;9;1;1;2
116;97;6;4;1;3
61;56;3;2;2;0
22;9;2;0;0;0
29;19;1;0;0;0
122;93;5;7;1;2
38;45;16;12;5;13
87;52;3;1;5;1
118;129;6;5;1;0
127;129;9;3;0;1
73;55;5;5;0;0
9;1;2;2;7;1
89;80;11;3;0;1
79;48;6;0;0;1
59;38;1;0;3;0
263;191;6;3;2;1
0;536;0;16;0;1
87;75;8;4;6;5
46;26;1;0;1;1
57;29;2;2;0;0
759;60;68;4;25;2
137;94;8;3;1;0
148;137;0;0;4;0
187;163;5;2;2;2
35;18;1;0;0;0
240;199;13;5;2;1
230;304;16;19;1;1
217;215;18;7;3;1
58;28;3;4;1;1
66;33;5;0;2;0
34;33;0;0;0;0
58;46;7;3;0;0
64;45;1;0;0;0
56;62;0;2;1;0
8;0;0;0;0;0
27;31;0;1;0;0
15;18;2;2;0;0
90;123;22;17;22;24
166;146;6;3;1;4
163;126;7;7;3;3
83;74;14;3;8;4
142;123;8;0;1;0
39;36;4;3;3;0
107;73;3;0;0;1
16;15;0;0;1;0
100;99;18;5;0;1
17;14;0;0;0;0
148;169;4;2;0;0
85;70;13;5;1;0
110;167;4;5;0;1
173;180;9;2;0;0
0;258;0;8;0;2
307;0;7;0;4;0
149;156;3;0;0;0
74;52;39;18;5;6
76;73;9;5;0;1
56;49;7;2;0;0
16;17;0;0;0;0
1;2;0;0;0;0
37;38;0;0;0;0
5;3;0;0;0;0
29;25;0;0;0;0
211;195;5;2;2;3
464;781;45;46;18;15
587;23;37;1;6;0
3;7;4;0;2;4
44;30;7;10;7;2
61;0;28;0;96;0
42;21;10;6;4;2
125;113;13;1;3;1
434;596;63;50;17;27
133;110;4;3;1;1
95;85;4;4;15;10
83;71;12;5;3;2
265;41;7;0;21;8
31;45;0;0;0;0
0;250;0;10;0;17
70;56;5;6;5;7
72;51;9;0;5;3
114;40;1;1;3;0
89;63;17;4;1;3
208;103;25;12;17;18
764;0;53;0;6;0
0;555;0;59;1;10
0;466;0;23;0;7
74;57;1;1;1;3
61;36;9;1;2;3
119;70;15;6;1;8
209;180;10;8;7;4
79;62;18;10;1;4
116;85;4;6;2;2
72;32;11;3;8;5
193;154;22;12;1;2
75;55;4;2;2;1
70;85;9;5;2;5
88;57;1;0;0;0
59;55;15;3;6;3
39;17;4;0;2;0
55;34;2;1;1;3
85;38;5;2;2;4
176;161;0;1;0;1
153;171;4;4;2;0
71;56;10;5;2;0
116;98;13;7;1;0
81;67;6;3;3;1
43;32;4;0;1;1
99;110;2;3;1;4
50;59;3;5;0;2
203;483;4;9;1;1
228;229;15;15;0;0
134;112;9;6;0;0
1;6;6;5;1;4
230;300;36;27;2;3
74;312;1;3;1;0
82;201;0;2;0;0
658;0;8;0;3;0
241;230;13;2;2;1
132;125;17;12;4;1
315;261;9;7;1;1
390;261;13;6;0;0
86;67;5;3;0;0
152;145;8;1;0;0
108;83;19;11;0;0
89;96;2;2;1;1
191;188;9;6;1;0
94;79;7;3;0;0
152;135;0;3;1;0
254;292;27;19;5;1
95;104;13;11;2;1
120;129;2;3;0;1
178;203;17;23;3;3
86;54;5;6;2;1
208;214;16;11;6;1
143;187;8;12;0;0
92;85;7;3;0;0
70;69;0;0;1;1
298;262;0;0;0;0
62;260;1;3;0;1
247;194;2;0;0;1
112;95;0;0;0;0
94;86;0;2;1;0
150;117;2;0;0;0
21;26;3;1;0;0
129;149;3;6;0;0
59;65;0;1;0;0
62;39;0;0;0;1
127;187;43;45;12;7
282;27;38;11;45;8
10;13;2;4;14;13
135;112;3;1;3;2
159;147;47;49;24;12
42;29;22;7;9;4
173;151;29;20;19;21
27;46;4;8;0;4
0;482;0;10;0;3
113;101;11;5;2;2
91;69;5;2;2;2
21;127;3;14;1;4
342;354;16;16;7;8
169;154;11;2;4;2
278;171;33;7;4;3
222;191;35;20;18;7
126;111;5;2;1;0
147;133;7;5;2;2
202;148;6;4;10;3
69;39;5;2;1;1
106;88;13;4;2;3
97;49;6;0;1;2
85;98;5;2;0;2
146;112;28;12;2;0
92;93;7;4;0;4
63;59;22;6;6;2
104;87;3;2;3;0
88;100;16;7;0;0
113;87;3;3;1;1
99;101;8;9;0;0
266;249;13;7;1;1
158;110;7;12;6;4
81;72;7;3;2;1
16;7;2;1;9;2
90;101;9;6;2;1
44;20;4;1;3;5
169;170;8;8;3;3
104;76;7;4;2;0
104;75;9;3;3;2
93;60;5;1;1;2
0;100;0;3;0;6
144;121;15;8;4;2
43;34;0;2;0;0
610;0;19;0;1;0
211;259;8;2;0;0
101;478;5;8;0;1
63;0;0;0;2;0
163;155;3;0;0;0
